Port,Service,Status,Risk,Banner
21,FTP,OPEN,HIGH,No banner received
22,SSH,OPEN,LOW,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
23,Telnet,CLOSED,NONE,N/A
25,SMTP,CLOSED,NONE,N/A
53,DNS,CLOSED,NONE,N/A
80,HTTP,OPEN,LOW,"HTTP/1.1 200 OK"
110,POP3,CLOSED,NONE,N/A
135,Windows RPC,CLOSED,NONE,N/A
139,NetBIOS,CLOSED,NONE,N/A
143,IMAP,CLOSED,NONE,N/A
443,HTTPS,CLOSED,NONE,N/A
445,SMB,CLOSED,NONE,N/A
3306,MySQL,CLOSED,NONE,N/A
3389,RDP,CLOSED,NONE,N/A
8000,HTTP/Python Server,CLOSED,NONE,N/A
